text,label
"Y'know, one of them had never been to a bachelor party before.",joy
You got it?,neutral
"Y'know, breadstick fangs are always funny.",joy
How?! When?!,surprise
What?! She made the tea!,surprise
"What can I do? One person wants to break-up, you break-up.",sadness
"Now, Mom, everything's going fine, really.",neutral
"Yeah, but wait...",neutral
"Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'",disgust
"Hey, Mon, I was just doing the dishes!",neutral
You would've liked it.,sadness
I'm not gonna marry Chandler!,anger
"I think it's great. Y'know, it's sweet, it's romantic...",joy
Why don't you tell me something I don't know!,anger
Can I ask you something? Have you ever had a guy have a crush on you?,neutral
So were done then!,anger
"Oh, you Americans always butcher the French language.",neutral
These pants are burning up!,surprise
So are you ever gonna tell whoever it is?,neutral
There will come a time in each of your careers when you'll have a chance to screw over another soap opera actor.,neutral
"Okay, Raymond, Joey you're up.",neutral
"Oh, it's incredible! I so want to be a Waxine girl.",joy
"That's interesting, but check this out. I date her",joy
"Oh great!  Wow! Yeah, it's comfortable.",joy
"Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.",neutral
"Well, the delivery went out to you and I realized they forgot this.",neutral
Shh.,neutral
"What, are you crazy? When a blind man gets his sight back, does he walk around like this?",disgust
Oh here it is!,joy
"It's possible, they have really sharp edges.",neutral
That's my sister.,neutral
"Here a chick, there a chick, everywhere a chick-chick--chickeeeen.",joy
How many perfectly fine women are you gonna reject over the most superficial insignificant things?,surprise
"All right, I promise. I'll fix this. I swear. I'll-I'll-I'll-I'll talk to her.",fear
He hooked up!! Tell us about her!,joy
"Wow, you have really pretty feet.",surprise
"Hold it, hold it.",neutral
"And Monica, with that snort when she laughs?",anger
But then this guy's right after him.,neutral
"Hey! Tall guy! Hey, listen, I wanted to talk to you about that girl that you're dancing with.",neutral
Exactly!,joy
Who is Maria?,neutral
I have to get back to,neutral
"Yeah, yeah, all the time.",neutral
"You'd better do something, or I'm gonna walk out that door right now! Well? Are you gonna?",anger
"Okay, I'm done with my choices, these are final.",neutral
"No, this is a much better job.",neutral
"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.",joy
"I mean why, of all people would you want to go out with Chip?!",surprise
That's it?,surprise
It's not fair Ross we got here first!,anger
I was just leaving.,neutral
You're the talker.,neutral
"Okay, Elizabeth Hurely....",joy
"Nothing, I'm just practicing blowing you off because I'm gonna be a big movie star!",surprise
And instead my parents got me this little plastic chicken that you hop around on.,anger
"Did you like her? And I'm just asking as a friend, because I am totally fine with this.",neutral
"I was really nervous and the accent just uh, just came out.",sadness
"I want to become the Ultimate Fighting Champion! It's the most intense physical competition in the world, it's banned in 49 states!",joy
"I saw this movie once where there was a door and no one knew what was behind it, and when they finally got it open millions and millions and millions of bugs came pouring out and they feasted on human flesh.",disgust
"Now, if after dinner you still really need to bust someone, I know a hot dog vendor who picks his nose.",disgust
"(Singing, to the tune of",joy
Let's call em.,neutral
Oww crushing bones!,surprise
"Oh, look look look.",surprise
One!  No ten! You said ten! You can't take that back!,anger
"Well actually, Ross doesn't.",neutral
I know it doesn't make much sense,neutral
"Really, it's fine, whatever you want.",neutral
"Hmm, soup.  I mean, noodle soup. I mean soup!",anger
"Okay. Yeah.  Yeah, I'll grab this one.",neutral
"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",anger
"Pheebs, this guy has been obsessed with your sister, for God knows how long, okay, you don't just give up something like that.",disgust
Here we go!,joy
No but at Monica's you can eat cookies over the sink!,joy
"So umm, does it?",neutral
"Uh, Rachel's here, so good luck man, let me know how it works out.",anger
Yeah! No that's what I was thinking.,neutral
"Hey Rach listen, no matter what this guy says I want you to know you're not gonna be alone in this.",joy
"All right, first thing we gotta do, damage control.",neutral
Boyfriend?,surprise
Stop it! I will kill you. I hate the fact that my room is so small.,anger
I can't believe you'd rather go out with him than me.,surprise
I think you'll find this room more to your liking.,neutral
So as long as it's hot onstage you got nothing to worry about.,neutral
But y'know what?,neutral
Ok! So let's move on to the Renaissance?,neutral
"Y'know, I sensed that I should stop. So we're okay?",neutral
"Now, after you receive the doubling bonus, you get uh, one card.",neutral
I actually needed to talk to you before the birth.,neutral
Are you close with them?,neutral
Why have you been following me?,anger
"Yeah, and thanks for putting my grandmother in the cab and making sure she got to the hotel safely.",neutral
"So you might say, it's a magic ring.",joy
"Hey man, how did the audition go?",neutral
What's a scrud?,neutral
Rachel!,anger
"Oh sure, Cilantro Larry.",neutral
"All right, how about the ladybugs?",neutral
"I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!",joy
I'm-I'm-I'm hoping to be your uterus for the next nine months.,joy
"I've been a nice guy up until now, but uh, I don't need this grief.",anger
Oh absolutely yeah!,neutral
But they don't see all the wonderfulness that I see.,joy
But I made cards!!,sadness
Can we turn the TV off? Okay? Do we really want to spend the entire weekend like this?,disgust
"Hi, guys.",neutral
"I'm just sayin' if dogs do experience jet lag, then, because of the whole um, seven dog years to one human year thing, then, when a dog flies from New York to Los Angeles, he doesn't just lose three hours, he loses like a week and a half.",neutral
I gotta buy some food.,neutral
Did he tell you?,surprise
"But, I was just thinking that since those guys just got engaged that maybe it would be nice if they had some privacy, y'know?",neutral
No. Not anymore.,neutral
Keep talking.,neutral
"Ross I'm so sorry. Okay. I-I will promise I will straighten this out with him tomorrow in person, or via e-mail.",sadness
"Uhh,",neutral
"That wig all in disarray, and boobs flung over the night stand, y'know.",disgust
"David, I'm pretending to",neutral
I'm fine.,neutral
"Well uh, you and I are just goofing around, I thought, why not goof around with him.",neutral
We're sorry.,sadness
Oh yeah! Amy just burned Jo's manuscript. I don't see how he could ever forgive her.,joy
Mr. major capades guy.,neutral
"So they're constantly, like, having to reassure each other that they're having a good time.",neutral
"The basket is totally empty! My God, the neighbors ate all the candy!",surprise
"That's funny, yeah!",joy
Sure.,neutral
"Wow, Monica! What an amazing opportunity to influence dozens of people.",joy
Of course he's gonna have his Uncle Joey!,joy
"By the way, he dumped me tonight after he read my review.",sadness
Forty-five minutes? We have tickets to the,surprise
"And I do, I have to make",sadness
"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",joy
"Oh! Well, you know what? It probably is.",neutral
"All right, let's do it.",fear
I don't know how any of these got opened?!,surprise
Okay!,anger
"Ok, on three, Ben.",neutral
"Yeah, sure.  All right, whose court is the ball in now?",neutral
I cannot believe that I just spent the last two days trying to figure out the recipe and it was in my cupboard the whole time!,anger
Hating you!,anger
"Listen, can you do me a favor?",neutral
"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?",disgust
Mine stole my newspaper! It's like a,anger
"Oh, right, that's me!",surprise
That all the pieces of my life are falling right into place!,joy
Wait a minute!,sadness
Oh right.,neutral
Mazel tov!,joy
"Oh, this is so cute.",joy
"Yeah I can, it worked real well.",neutral
"I'm-I'm really warm, so I'm going to be taking off my sweater.",neutral
What the heck is that?,surprise
"Oh, uh..",fear
"I needed a plan, a plan to get over my man.",anger
"Listen Ross, we ran out of gas, and we don't know where we are, so we can't get a tow truck.",fear
Thanks Rach.,neutral
"I did, but that was really fun.",joy
Why aren't you home yet?!,anger
"No, she just died today! Okay, umm, we're having a memorial service tomorrow.",sadness
Where's Chandler?,neutral
"Something went wrong with Underdog, and they couldn't get his head to inflate.",neutral
"Ok, so it's just because it was my table, I have to buy a new one?",anger
Monica.,neutral
"You're not dying Hope, you're gonna live a long, healthy life. With me.",joy
"Uh, uh, we'll flip for it. Ducks or clowns.",neutral
I don't have too. I can just look at you.,joy
"I miss Janice though.  ""Hello, Chandler Bing.""",neutral
I'm gonna go get one of those  job things.,neutral
I can't believe my parents are actually pressuring me to find one of you people.,surprise
"Oh well, Chandler and Monica are over there and it's kinda hard to concentrate.",neutral
"This has a little bit of orange peel, but no nutmeg.",neutral
"Nothing. It's just old and dingy, that's all.",disgust
"Three of your five, what?",neutral
"Ohh! And I'm one of them!! Wow! Oh, I just cannot believe this! I mean, Joey Tribbiani!",surprise
"Yeah, but Jason's really sensitive.",neutral
"Now, this is just a loan.",neutral
Hm-mmm,neutral
"Okay, I'm sorry. I think I can walk the rest of the way now. Just-just give me my boots.",sadness
I'm having a really good time!,joy
I've actually been thinking about quitting lately.,neutral
"Well I just, thought maybe you'd wanna book some time with the best you'd ever had.",neutral
"It's not funny, this is actually my job.",anger
You wouldn't happen to have a very big fork?,neutral
"What I do dois manage to uh, create an atmosphere of support for the people working with me.",neutral
"I know we're not, but  Frank Medeio and...  Eva Trorro... womba...",neutral
"Thank you Helen, that'll be all.",neutral
It's awfully pink.,neutral
"All right, first name on the speed dial is mom.",neutral
You don't think I've tried? You think I,joy
Oh no. Could I get anyone a coffee orpoison? No? Just for me? Okay.,fear
Thank God. Food.,joy
"Chandler, I…",joy
We can help each other out!,joy
"See, this is a",neutral
Tramp?!,surprise
"Oh-oh, you lie.",disgust
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease.",anger
I see Spindler a lot.,neutral
"Hey, no way, I'm in the shot man.",anger
Really?,anger
She's supposed to be very good.,neutral
"Ok, and this is Funny Clown. Funny Clown is only for after his naps, not before his naps or he won't sleep.",neutral
I am strong! I'll show you!,anger
"No just, nobody press on my stomach.",neutral
And we'll need you and Rachel to testify before a judge.,neutral
"It's okay. Come, come on in.",neutral
You couldn't do it?!,surprise
Well IThat's never gonna happen with Ross.,sadness
"Umm, I think he's still out. What's wrong?",joy
It's like we're father and son.,joy
I would love to live with you Ross.. that's-that's great! Thank you!,joy
Sorry.,neutral
