text,label
kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,disgust
"ok, chalo rosesh chalo bahar",contempt
momma! hath chhodiye dad!,anger
"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",neutral
"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",neutral
kaikai pe joke maroge to manthra thodi na hasegi,contempt
very funny,contempt
"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",neutral
hi guys,joy
hi,joy
"hi darling. achcha indravadan, please ya kachra bahar fenko!",neutral
"ok maya, chalo rosesh tumhen bahar fenk au",neutral
mom! diwali ka lunch hamare ghar pe,joy
aur mein khana fresh banane wali hun,joy
"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",neutral
"ok maya, chalo monisha tumhe bahar fenk aau",neutral
"ha ha ha, indravadan you are so funny",joy
"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",neutral
kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,contempt
acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,neutral
"ok chaliye dad, mein aapko bahar fenk kar aata hun!",joy
"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",contempt
rosesh beta happy diwali!,joy
you bet momma.,neutral
"rosesh bete, diwali mubarak ho!",joy
"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",sadness
how can you say that rosesh?,neutral
tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,joy
"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",neutral
meri cesarean delivery hui thi indravadan!,neutral
aur mithaai kaun si bati thi?,neutral
baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,neutral
dry fruits ke boxes baate the indravadan!,neutral
