,anger,disgust,fear,joy,neutral,sadness,surprise,contempt,index,sentence,number of sentences,positive,negative,confidence of lex,length,period,question mark,exclamation point,ellipses,label
0,0,0,0,0,1,0,0,0,1,What does Indravadan keep in the house? Indravadan please why didn't you throw away all the useless things?,0.2,0.0,1.0,1.0,0.14093959731543623,0.0,1.0,0.0,0.0,disgust
1,0,0,0,0,1,0,0,0,2,"ok, let's rise, let's spring",0.1,0.0,0.0,1.0,0.06040268456375839,0.0,0.0,0.0,0.0,contempt
2,0,0,0,0,1,0,0,0,3,Momma! Hath Chodiye Dad!,0.2,0.0,0.0,1.0,0.040268456375838924,0.0,0.0,1.0,0.0,anger
3,0,0,0,0,1,0,0,0,4,"Look Maya or I am not speaking! Then you will say that you are not throwing the wrong things, come on.",0.2,0.0,1.0,1.0,0.1610738255033557,0.5,0.0,0.5,0.0,neutral
4,0,0,0,0,1,0,0,0,5,"Indravadan, for how many years have you been telling this joke? What is happening today?",0.2,0.0,1.0,1.0,0.12080536912751678,0.0,1.0,0.0,0.0,neutral
5,0,0,0,0,1,0,0,0,6,joke on kaikai,0.1,0.0,1.0,1.0,0.020134228187919462,0.0,0.0,0.0,0.0,contempt
6,0,0,0,0,1,0,0,0,7,very funny,0.1,0.0,0.0,1.0,0.013422818791946308,0.0,0.0,0.0,0.0,contempt
7,0,0,0,0,1,0,0,0,8,"Maya, Monisha and Sahil are here, see what they are using and see how much they have done.",0.1,0.0,0.0,1.0,0.14093959731543623,1.0,0.0,0.0,0.0,neutral
8,0,0,0,0,1,0,0,0,9,hi guys,0.1,0.0,0.0,1.0,0.013422818791946308,0.0,0.0,0.0,0.0,joy
9,0,0,0,0,1,0,0,0,10,hi,0.1,0.0,0.0,1.0,0.006711409395973154,0.0,0.0,0.0,0.0,joy
10,0,1,0,1,0,0,0,0,11,"hi darling. achcha indravadan, please throw away this garbage!",0.2,0.5,0.5,0.5,0.08053691275167785,0.5,0.0,0.5,0.0,neutral
11,0,0,0,0,1,0,0,0,12,"ok maya, let's throw roses at you",0.1,0.0,0.0,1.0,0.06040268456375839,0.0,0.0,0.0,0.0,neutral
12,0,0,0,0,1,0,0,0,13,Mom! Diwali lunch at our house,0.2,0.0,0.0,1.0,0.04697986577181208,0.0,0.0,1.0,0.0,joy
13,0,0,0,1,0,0,0,0,14,And I have made fresh food.,0.1,1.0,0.0,1.0,0.04697986577181208,1.0,0.0,0.0,0.0,joy
14,0,1,1,0,0,1,0,0,15,"i rest my case indravadan. Hase Donon, huh? achcha ab to please throw away the garbage bahar do",0.3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.14093959731543623,0.5,0.5,0.0,0.0,neutral
15,0,0,0,0,1,0,0,0,16,"ok maya, come on monisha let me throw you bahar",0.1,0.0,0.0,1.0,0.0738255033557047,0.0,0.0,0.0,0.0,neutral
16,0,0,0,0,1,0,0,0,17,"ha ha ha, indravadan you are so funny",0.1,0.0,0.0,1.0,0.06040268456375839,0.0,0.0,0.0,0.0,joy
17,0,0,0,1,0,1,0,0,18,"Haila, shore! It's your Diwali lunch, don't feed your mother, cook and feed the chief.",0.2,0.5,0.5,0.5,0.1476510067114094,0.5,0.0,0.5,0.0,neutral
18,1,0,1,0,0,1,0,0,19,"Because whenever I joke on Rosesh, it has not hurt at all, but when I joke on Monisha, see how it has gone!",0.1,0.0,1.0,0.3333333333333333,0.18120805369127516,0.0,0.0,1.0,0.0,contempt
19,0,1,0,0,0,0,0,0,20,acha now cut it out huh indravadan. rosesh sweety take out all the garbage out of you,0.2,0.0,1.0,1.0,0.12080536912751678,1.0,0.0,0.0,0.0,neutral
20,0,0,0,0,1,0,0,0,21,"Ok let's go dad, I have come after throwing you away!",0.1,0.0,0.0,1.0,0.09395973154362416,0.0,0.0,1.0,0.0,joy
21,0,0,0,1,0,0,0,0,22,"haha, you asked for that one. Sahil darling please help me. My house has become Monisha's house after all!",0.3,1.0,0.0,1.0,0.1610738255033557,0.6666666666666666,0.0,0.3333333333333333,0.0,contempt
22,0,0,0,1,0,0,0,0,23,rosesh beta happy diwali!,0.1,1.0,0.0,1.0,0.03355704697986577,0.0,0.0,1.0,0.0,joy
23,0,0,0,0,1,0,0,0,24,you bet momma.,0.1,0.0,0.0,1.0,0.026845637583892617,1.0,0.0,0.0,0.0,neutral
